phase,iteration,churned,generation,input_target,input_validation,output_target,output_validation,visited_chunks,elapsed_us,candidate_bytes,deep_arrival,reached_end,valid
mutation,160,1,500329,288002048,0,288002048,60180080,208959,10000.739,0,0,0,1
mutation,161,1,500331,288002048,0,288002048,60262400,209244,10000.728,0,0,0,1
mutation,162,1,500333,288002048,0,288002048,60202544,209037,10000.746,0,0,0,1
mutation,163,1,500335,288002048,0,288002048,60233648,209145,10000.722,0,0,0,1
mutation,164,1,500337,288002048,0,288002048,60199664,209027,10000.704,0,0,0,1
mutation,165,1,500339,288002048,0,288002048,60241136,209171,10000.734,0,0,0,1
mutation,166,1,500341,288002048,0,288002048,60124208,208765,10000.709,0,0,0,1
mutation,167,1,500343,288002048,0,288002048,60126512,208773,10000.747,0,0,0,1
mutation,168,1,500345,288002048,0,288002048,60108656,208711,10000.720,0,0,0,1
mutation,169,1,500347,288002048,0,288002048,60095984,208667,10000.722,0,0,0,1
mutation,170,1,500349,288002048,0,288002048,60131120,208789,10000.719,0,0,0,1
mutation,171,1,500351,288002048,0,288002048,60135680,208804,10000.725,0,0,0,1
mutation,172,1,500353,288002048,0,288002048,60088496,208641,10000.764,0,0,0,1
mutation,173,1,500355,288002048,0,288002048,60113840,208729,10000.728,0,0,0,1
mutation,174,1,500357,288002048,0,288002048,60053888,208520,10000.727,0,0,0,1
mutation,175,1,500359,288002048,0,288002048,60177728,208950,10000.748,0,0,0,1
mutation,176,1,500361,288002048,0,288002048,59908208,208015,10000.775,0,0,0,1
mutation,177,1,500363,288002048,0,288002048,60238832,209163,10001.056,0,0,0,1
mutation,178,1,500365,288002048,0,288002048,60254912,209218,10000.721,0,0,0,1
mutation,179,1,500367,288002048,0,288002048,59904752,208003,10000.765,0,0,0,1
mutation,180,1,500369,288002048,0,288002048,60069488,208575,10000.730,0,0,0,1
mutation,181,1,500371,288002048,0,288002048,60114944,208732,10000.700,0,0,0,1
mutation,182,1,500373,288002048,0,288002048,60146096,208841,10000.729,0,0,0,1
mutation,183,1,500375,288002048,0,288002048,60070064,208577,10000.711,0,0,0,1
mutation,184,1,500377,288002048,0,288002048,60136304,208807,10000.697,0,0,0,1
mutation,185,1,500379,288002048,0,288002048,60148400,208849,10000.752,0,0,0,1
mutation,186,1,500381,288002048,0,288002048,60052208,208515,10000.741,0,0,0,1
mutation,187,1,500383,288002048,0,288002048,60184688,208975,10000.737,0,0,0,1
mutation,188,1,500385,288002048,0,288002048,60280832,209308,10000.734,0,0,0,1
mutation,189,1,500387,288002048,0,288002048,60171968,208930,10000.752,0,0,0,1
mutation,190,1,500389,288002048,0,288002048,60144320,208834,10000.704,0,0,0,1
mutation,191,1,500391,288002048,0,288002048,60117296,208741,10000.730,0,0,0,1
mutation,192,1,500393,288002048,0,288002048,60221504,209102,10000.712,0,0,0,1
mutation,193,1,500395,288002048,0,288002048,60123584,208762,10000.714,0,0,0,1
mutation,194,1,500397,288002048,0,288002048,60253808,209215,10000.699,0,0,0,1
mutation,195,1,500399,288002048,0,288002048,60158768,208885,10000.763,0,0,0,1
mutation,196,1,500401,288002048,0,288002048,60123008,208760,10000.722,0,0,0,1
mutation,197,1,500403,288002048,0,288002048,60165680,208909,10000.721,0,0,0,1
mutation,198,1,500405,288002048,0,288002048,60235328,209150,10000.722,0,0,0,1
mutation,199,1,500407,288002048,0,288002048,60101744,208687,10000.709,0,0,0,1
mutation,200,1,500409,288002048,0,288002048,60204848,209045,10000.734,0,0,0,1
mutation,201,1,500411,288002048,0,288002048,59994608,208315,10000.707,0,0,0,1
mutation,202,1,500413,288002048,0,288002048,60136832,208808,10000.721,0,0,0,1
mutation,203,1,500415,288002048,0,288002048,60216368,209085,10000.717,0,0,0,1
mutation,204,1,500417,288002048,0,288002048,60193280,209004,10000.701,0,0,0,1
mutation,205,1,500419,288002048,0,288002048,59916272,208043,10000.754,0,0,0,1
mutation,206,1,500421,288002048,0,288002048,59899520,207984,10000.716,0,0,0,1
mutation,207,1,500423,288002048,0,288002048,60739904,210902,10000.748,0,0,0,1
mutation,208,1,500425,288002048,0,288002048,60160496,208891,10000.721,0,0,0,1
mutation,209,1,500427,288002048,0,288002048,60123632,208763,10000.730,0,0,0,1
mutation,210,1,500429,288002048,0,288002048,59776304,207557,10000.710,0,0,0,1
mutation,211,1,500431,288002048,0,288002048,60193328,209005,10000.725,0,0,0,1
mutation,212,1,500433,288002048,0,288002048,60179504,208957,10000.722,0,0,0,1
mutation,213,1,500435,288002048,0,288002048,60200240,209029,10000.737,0,0,0,1
mutation,214,1,500437,288002048,0,288002048,60191552,208998,10000.736,0,0,0,1
mutation,215,1,500439,288002048,0,288002048,60200768,209030,10000.724,0,0,0,1
mutation,216,1,500441,288002048,0,288002048,60215216,209081,10000.731,0,0,0,1
mutation,217,1,500443,288002048,0,288002048,60099440,208679,10000.745,0,0,0,1
mutation,218,1,500445,288002048,0,288002048,60216944,209087,10000.700,0,0,0,1
mutation,219,1,500447,288002048,0,288002048,60151280,208859,10000.752,0,0,0,1
mutation,220,1,500449,288002048,0,288002048,60116144,208737,10000.761,0,0,0,1
mutation,221,1,500451,288002048,0,288002048,60081584,208617,10000.750,0,0,0,1
mutation,222,1,500453,288002048,0,288002048,60029744,208437,10000.751,0,0,0,1
mutation,223,1,500455,288002048,0,288002048,60195056,209011,10000.768,0,0,0,1
mutation,224,1,500457,288002048,0,288002048,60081008,208615,10000.705,0,0,0,1
mutation,225,1,500459,288002048,0,288002048,60087872,208638,10000.734,0,0,0,1
mutation,226,1,500461,288002048,0,288002048,60174272,208938,10000.702,0,0,0,1
mutation,227,1,500463,288002048,0,288002048,60113264,208727,10000.777,0,0,0,1
mutation,228,1,500465,288002048,0,288002048,60234176,209146,10000.721,0,0,0,1
mutation,229,1,500467,288002048,0,288002048,60154112,208868,10000.631,0,0,0,1
mutation,230,1,500469,288002048,0,288002048,59849456,207811,10000.723,0,0,0,1
mutation,231,1,500471,288002048,0,288002048,60205424,209047,10000.735,0,0,0,1
mutation,232,1,500473,288002048,0,288002048,60148352,208848,10000.719,0,0,0,1
mutation,233,1,500475,288002048,0,288002048,60219824,209097,10000.722,0,0,0,1
mutation,234,1,500477,288002048,0,288002048,60177152,208948,10000.700,0,0,0,1
mutation,235,1,500479,288002048,0,288002048,60141488,208825,10000.723,0,0,0,1
mutation,236,1,500481,288002048,0,288002048,60154112,208868,10000.734,0,0,0,1
mutation,237,1,500483,288002048,0,288002048,60014768,208385,10000.711,0,0,0,1
mutation,238,1,500485,288002048,0,288002048,59980784,208267,10000.737,0,0,0,1
mutation,239,1,500487,288002048,0,288002048,59929520,208089,10000.743,0,0,0,1
mutation,240,1,500489,288002048,0,288002048,60153584,208867,10000.742,0,0,0,1
mutation,241,1,500491,288002048,0,288002048,60143216,208831,10000.711,0,0,0,1
mutation,242,1,500493,288002048,0,288002048,60189296,208991,10000.754,0,0,0,1
mutation,243,1,500495,288002048,0,288002048,60199664,209027,10000.750,0,0,0,1
mutation,244,1,500497,288002048,0,288002048,60120128,208750,10000.709,0,0,0,1
mutation,245,1,500499,288002048,0,288002048,60060848,208545,10000.699,0,0,0,1
mutation,246,1,500501,288002048,0,288002048,60172592,208933,10000.721,0,0,0,1
mutation,247,1,500503,288002048,0,288002048,60142592,208828,10000.704,0,0,0,1
mutation,248,1,500505,288002048,0,288002048,60142064,208827,10000.759,0,0,0,1
mutation,249,1,500507,288002048,0,288002048,59968688,208225,10000.754,0,0,0,1
mutation,250,1,500509,288002048,0,288002048,60174848,208940,10000.735,0,0,0,1
mutation,251,1,500511,288002048,0,288002048,60148400,208849,10000.712,0,0,0,1
mutation,252,1,500513,288002048,0,288002048,60215168,209080,10000.728,0,0,0,1
mutation,253,1,500515,288002048,0,288002048,59958848,208190,10000.724,0,0,0,1
mutation,254,1,500517,288002048,0,288002048,59707184,207317,10000.714,0,0,0,1
mutation,255,1,500519,288002048,0,288002048,60122480,208759,10000.764,0,0,0,1
mutation,256,1,500521,288002048,0,288002048,59920832,208058,10001.398,0,0,0,1
mutation,257,1,500523,288002048,0,288002048,60188144,208987,10000.722,0,0,0,1
mutation,258,1,500525,288002048,0,288002048,60161648,208895,10000.747,0,0,0,1
mutation,259,1,500527,288002048,0,288002048,59938736,208121,10000.736,0,0,0,1
mutation,260,1,500529,288002048,0,288002048,60136304,208807,10000.730,0,0,0,1
mutation,261,1,500531,288002048,0,288002048,59792432,207613,10000.695,0,0,0,1
mutation,262,1,500533,288002048,0,288002048,60180608,208960,10000.726,0,0,0,1
mutation,263,1,500535,288002048,0,288002048,60114368,208730,10000.719,0,0,0,1
mutation,264,1,500537,288002048,0,288002048,60142016,208826,10000.717,0,0,0,1
mutation,265,1,500539,288002048,0,288002048,60159920,208889,10000.725,0,0,0,1
mutation,266,1,500541,288002048,0,288002048,60173168,208935,10000.729,0,0,0,1
mutation,267,1,500543,288002048,0,288002048,60132272,208793,10000.727,0,0,0,1
mutation,268,1,500545,288002048,0,288002048,60050480,208509,10000.744,0,0,0,1
mutation,269,1,500547,288002048,0,288002048,60187568,208985,10000.714,0,0,0,1
mutation,270,1,500549,288002048,0,288002048,60255488,209220,10000.722,0,0,0,1
mutation,271,1,500551,288002048,0,288002048,60231920,209139,10000.772,0,0,0,1
mutation,272,1,500553,288002048,0,288002048,60041264,208477,10000.721,0,0,0,1
mutation,273,1,500555,288002048,0,288002048,60157616,208881,10000.716,0,0,0,1
mutation,274,1,500557,288002048,0,288002048,60116720,208739,10000.710,0,0,0,1
mutation,275,1,500559,288002048,0,288002048,60156416,208876,10000.717,0,0,0,1
mutation,276,1,500561,288002048,0,288002048,60120752,208753,10000.723,0,0,0,1
mutation,277,1,500563,288002048,0,288002048,60233600,209144,10001.038,0,0,0,1
mutation,278,1,500565,288002048,0,288002048,60207104,209052,10000.752,0,0,0,1
mutation,279,1,500567,288002048,0,288002048,59749808,207465,10000.691,0,0,0,1
mutation,280,1,500569,288002048,0,288002048,59977904,208257,10000.701,0,0,0,1
mutation,281,1,500571,288002048,0,288002048,60234800,209149,10000.702,0,0,0,1
mutation,282,1,500573,288002048,0,288002048,60165104,208907,10000.677,0,0,0,1
mutation,283,1,500575,288002048,0,288002048,60215744,209082,10000.690,0,0,0,1
mutation,284,1,500577,288002048,0,288002048,60157616,208881,10000.719,0,0,0,1
mutation,285,1,500579,288002048,0,288002048,59952560,208169,10000.722,0,0,0,1
mutation,286,1,500581,288002048,0,288002048,60191024,208997,10000.750,0,0,0,1
mutation,287,1,500583,288002048,0,288002048,60169088,208920,10000.669,0,0,0,1
mutation,288,1,500585,288002048,0,288002048,60045248,208490,10000.696,0,0,0,1
mutation,289,1,500587,288002048,0,288002048,60156464,208877,10000.715,0,0,0,1
mutation,290,1,500589,288002048,0,288002048,60134528,208800,10000.714,0,0,0,1
mutation,291,1,500591,288002048,0,288002048,60267632,209263,10000.696,0,0,0,1
mutation,292,1,500593,288002048,0,288002048,60078704,208607,10000.675,0,0,0,1
mutation,293,1,500595,288002048,0,288002048,60143168,208830,10000.685,0,0,0,1
mutation,294,1,500597,288002048,0,288002048,60118400,208744,10000.725,0,0,0,1
mutation,295,1,500599,288002048,0,288002048,60101744,208687,10000.677,0,0,0,1
mutation,296,1,500601,288002048,0,288002048,60065456,208561,10000.661,0,0,0,1
mutation,297,1,500603,288002048,0,288002048,60191552,208998,10000.671,0,0,0,1
mutation,298,1,500605,288002048,0,288002048,60184112,208973,10000.700,0,0,0,1
mutation,299,1,500607,288002048,0,288002048,60133376,208796,10000.705,0,0,0,1
mutation,300,1,500609,288002048,0,288002048,60164528,208905,10000.694,0,0,0,1
mutation,301,1,500611,288002048,0,288002048,60132224,208792,10000.695,0,0,0,1
mutation,302,1,500613,288002048,0,288002048,60084992,208628,10000.678,0,0,0,1
mutation,303,1,500615,288002048,0,288002048,60192176,209001,10000.694,0,0,0,1
mutation,304,1,500617,288002048,0,288002048,60256112,209223,10000.800,0,0,0,1
mutation,305,1,500619,288002048,0,288002048,60196208,209015,10000.712,0,0,0,1
mutation,306,1,500621,288002048,0,288002048,60135728,208805,10000.681,0,0,0,1
mutation,307,1,500623,288002048,0,288002048,60053936,208521,10000.692,0,0,0,1
mutation,308,1,500625,288002048,0,288002048,60133952,208798,10000.673,0,0,0,1
mutation,309,1,500627,288002048,0,288002048,60152432,208863,10000.702,0,0,0,1
mutation,310,1,500629,288002048,0,288002048,60102896,208691,10000.716,0,0,0,1
mutation,311,1,500631,288002048,0,288002048,60096560,208669,10000.731,0,0,0,1
mutation,312,1,500633,288002048,0,288002048,60173696,208936,10000.674,0,0,0,1
mutation,313,1,500635,288002048,0,288002048,60050432,208508,10000.696,0,0,0,1
mutation,314,1,500637,288002048,0,288002048,60117296,208741,10000.756,0,0,0,1
mutation,315,1,500639,288002048,0,288002048,60172592,208933,10000.728,0,0,0,1
mutation,316,1,500641,288002048,0,288002048,60207104,209052,10000.704,0,0,0,1
mutation,317,1,500643,288002048,0,288002048,60154688,208870,10000.672,0,0,0,1
mutation,318,1,500645,288002048,0,288002048,60163904,208902,10000.685,0,0,0,1
mutation,319,1,500647,288002048,0,288002048,60035456,208456,10000.681,0,0,0,1
mutation,320,1,500649,288002048,0,288002048,59968112,208223,10000.672,0,0,0,1
mutation,321,1,500651,288002048,0,288002048,60130544,208787,10000.723,0,0,0,1
mutation,322,1,500653,288002048,0,288002048,60137456,208811,10000.732,0,0,0,1
mutation,323,1,500655,288002048,0,288002048,60144320,208834,10000.708,0,0,0,1
mutation,324,1,500657,288002048,0,288002048,59999792,208333,10000.709,0,0,0,1
mutation,325,1,500659,288002048,0,288002048,60158144,208882,10000.627,0,0,0,1
mutation,326,1,500661,288002048,0,288002048,60117296,208741,10000.755,0,0,0,1
mutation,327,1,500663,288002048,0,288002048,60185216,208976,10000.689,0,0,0,1
mutation,328,1,500665,288002048,0,288002048,60204800,209044,10000.700,0,0,0,1
mutation,329,1,500667,288002048,0,288002048,60190448,208995,10000.731,0,0,0,1
mutation,330,1,500669,288002048,0,288002048,60120704,208752,10000.690,0,0,0,1
mutation,331,1,500671,288002048,0,288002048,60143216,208831,10000.718,0,0,0,1
mutation,332,1,500673,288002048,0,288002048,60072944,208587,10000.695,0,0,0,1
mutation,333,1,500675,288002048,0,288002048,60188672,208988,10000.696,0,0,0,1
mutation,334,1,500677,288002048,0,288002048,60053312,208518,10000.698,0,0,0,1
mutation,335,1,500679,288002048,0,288002048,60186992,208983,10000.695,0,0,0,1
