phase,iteration,churned,generation,input_target,input_validation,output_target,output_validation,visited_chunks,elapsed_us,candidate_bytes,deep_arrival,reached_end,valid
mutation,98,1,1000205,576004096,0,576004096,61427648,213290,10000.576,0,0,0,1
mutation,99,1,1000207,576004096,0,576004096,61418432,213258,10000.574,0,0,0,1
mutation,100,1,1000209,576004096,0,576004096,61439792,213333,10000.618,0,0,0,1
mutation,101,1,1000211,576004096,0,576004096,61529072,213643,10000.618,0,0,0,1
mutation,102,1,1000213,576004096,0,576004096,61462832,213413,10000.592,0,0,0,1
mutation,103,1,1000215,576004096,0,576004096,61475456,213456,10000.570,0,0,0,1
mutation,104,1,1000217,576004096,0,576004096,61395440,213179,10000.579,0,0,0,1
mutation,105,1,1000219,576004096,0,576004096,61473200,213449,10000.560,0,0,0,1
mutation,106,1,1000221,576004096,0,576004096,61484720,213489,10000.615,0,0,0,1
mutation,107,1,1000223,576004096,0,576004096,61426544,213287,10000.567,0,0,0,1
mutation,108,1,1000225,576004096,0,576004096,61477808,213465,10000.584,0,0,0,1
mutation,109,1,1000227,576004096,0,576004096,61446704,213357,10000.606,0,0,0,1
mutation,110,1,1000229,576004096,0,576004096,61486448,213495,10000.610,0,0,0,1
mutation,111,1,1000231,576004096,0,576004096,61531904,213652,10000.575,0,0,0,1
mutation,112,1,1000233,576004096,0,576004096,61458752,213398,10000.603,0,0,0,1
mutation,113,1,1000235,576004096,0,576004096,61390208,213160,10000.565,0,0,0,1
mutation,114,1,1000237,576004096,0,576004096,61489328,213505,10000.578,0,0,0,1
mutation,115,1,1000239,576004096,0,576004096,61554368,213730,10000.599,0,0,0,1
mutation,116,1,1000241,576004096,0,576004096,61382768,213135,10000.568,0,0,0,1
mutation,117,1,1000243,576004096,0,576004096,61395440,213179,10000.623,0,0,0,1
mutation,118,1,1000245,576004096,0,576004096,61202480,212509,10000.592,0,0,0,1
mutation,119,1,1000247,576004096,0,576004096,61227824,212597,10000.607,0,0,0,1
mutation,120,1,1000249,576004096,0,576004096,61280240,212779,10000.614,0,0,0,1
mutation,121,1,1000251,576004096,0,576004096,61362032,213063,10000.612,0,0,0,1
mutation,122,1,1000253,576004096,0,576004096,61469168,213435,10000.620,0,0,0,1
mutation,123,1,1000255,576004096,0,576004096,61511168,213580,10000.577,0,0,0,1
mutation,124,1,1000257,576004096,0,576004096,61428272,213293,10000.610,0,0,0,1
mutation,125,1,1000259,576004096,0,576004096,61432832,213308,10000.593,0,0,0,1
mutation,126,1,1000261,576004096,0,576004096,61496816,213531,10000.615,0,0,0,1
mutation,127,1,1000263,576004096,0,576004096,61425344,213282,10000.601,0,0,0,1
mutation,128,1,1000265,576004096,0,576004096,61531952,213653,10000.674,0,0,0,1
mutation,129,1,1000267,576004096,0,576004096,61415552,213248,10000.565,0,0,0,1
mutation,130,1,1000269,576004096,0,576004096,61495664,213527,10000.598,0,0,0,1
mutation,131,1,1000271,576004096,0,576004096,61434608,213315,10000.573,0,0,0,1
mutation,132,1,1000273,576004096,0,576004096,61511792,213583,10000.633,0,0,0,1
mutation,133,1,1000275,576004096,0,576004096,61501424,213547,10000.583,0,0,0,1
