phase,quantum,state,advised_kb,obs_drop_kb,quantum_ran,next_delay_ms,scan,cursor_generation,next_generation,topology_before,topology_after,free_before,free_after,topology_changed,validation_reset,target_rewound,target_in,target_out,validation_in,validation_out,visited_chunks,reached_end
churn,1530,Trimming,4096,0,1,0,1,24686,24686,24686,24686,12310,12310,1,1,0,340516864,344711168,0,268444480,133,0
churn,1531,Trimming,4096,0,1,0,1,24702,24702,24702,24702,12318,12318,1,1,0,344711168,348905472,0,268444480,133,0
churn,1532,Trimming,4096,0,1,0,1,24718,24718,24718,24718,12326,12326,1,1,0,348905472,353099776,0,268444480,133,0
churn,1533,Trimming,4096,0,1,0,1,24734,24734,24734,24734,12334,12334,1,1,0,353099776,357294080,0,268444480,133,0
churn,1534,Trimming,4096,0,1,0,1,24750,24750,24750,24750,12342,12342,1,1,0,357294080,361488384,0,268444480,133,0
churn,1535,Trimming,4096,0,1,0,1,24766,24766,24766,24766,12350,12350,1,1,0,361488384,365682688,0,268444480,133,0
churn,1536,Trimming,4096,0,1,0,1,24782,24782,24782,24782,12358,12358,1,1,0,365682688,369876992,0,268444480,133,0
churn,1537,Trimming,4096,0,1,0,1,24798,24798,24798,24798,12366,12366,1,1,0,369876992,374071296,0,268444480,133,0
churn,1538,Trimming,4096,0,1,0,1,24814,24814,24814,24814,12374,12374,1,1,0,374071296,378265600,0,268444480,133,0
churn,1539,Trimming,4096,0,1,0,1,24830,24830,24830,24830,12382,12382,1,1,0,378265600,382459904,0,268444480,133,0
churn,1540,Trimming,4096,0,1,0,1,24846,24846,24846,24846,12390,12390,1,1,0,382459904,386654208,0,268444480,133,0
churn,1541,Trimming,4096,0,1,0,1,24862,24862,24862,24862,12398,12398,1,1,0,386654208,390848512,0,268444480,133,0
churn,1542,Trimming,4096,0,1,0,1,24878,24878,24878,24878,12406,12406,1,1,0,390848512,395042816,0,268444480,133,0
churn,1543,Trimming,4096,0,1,0,1,24894,24894,24894,24894,12414,12414,1,1,0,395042816,399237120,0,268444480,133,0
churn,1544,Trimming,4096,0,1,0,1,24910,24910,24910,24910,12422,12422,1,1,0,399237120,403431424,0,268444480,133,0
churn,1545,Trimming,4096,0,1,0,1,24926,24926,24926,24926,12430,12430,1,1,0,403431424,407625728,0,268444480,133,0
churn,1546,Trimming,4096,0,1,0,1,24942,24942,24942,24942,12438,12438,1,1,0,407625728,411820032,0,268444480,133,0
churn,1547,Trimming,4096,0,1,0,1,24958,24958,24958,24958,12446,12446,1,1,0,411820032,416014336,0,268444480,133,0
churn,1548,Trimming,4096,0,1,0,1,24974,24974,24974,24974,12454,12454,1,1,0,416014336,420208640,0,268444480,133,0
churn,1549,Trimming,4096,0,1,0,1,24990,24990,24990,24990,12462,12462,1,1,0,420208640,424402944,0,268444480,133,0
churn,1550,Trimming,4096,0,1,0,1,25006,25006,25006,25006,12470,12470,1,1,0,424402944,428597248,0,268444480,133,0
churn,1551,Trimming,4096,0,1,0,1,25022,25022,25022,25022,12478,12478,1,1,0,428597248,432791552,0,268444480,133,0
churn,1552,Trimming,4096,0,1,0,1,25038,25038,25038,25038,12486,12486,1,1,0,432791552,436985856,0,268444480,133,0
churn,1553,Trimming,4096,0,1,0,1,25054,25054,25054,25054,12494,12494,1,1,0,436985856,441180160,0,268444480,133,0
churn,1554,Trimming,4096,0,1,0,1,25070,25070,25070,25070,12502,12502,1,1,0,441180160,445374464,0,268444480,133,0
churn,1555,Trimming,4096,0,1,0,1,25086,25086,25086,25086,12510,12510,1,1,0,445374464,449568768,0,268444480,133,0
churn,1556,Trimming,4096,0,1,0,1,25102,25102,25102,25102,12518,12518,1,1,0,449568768,453763072,0,268444480,133,0
churn,1557,Trimming,4096,0,1,0,1,25118,25118,25118,25118,12526,12526,1,1,0,453763072,457957376,0,268444480,133,0
churn,1558,Trimming,4096,0,1,0,1,25134,25134,25134,25134,12534,12534,1,1,0,457957376,462151680,0,268444480,133,0
churn,1559,Trimming,4096,0,1,0,1,25150,25150,25150,25150,12542,12542,1,1,0,462151680,466345984,0,268444480,133,0
churn,1560,Trimming,4096,0,1,0,1,25166,25166,25166,25166,12550,12550,1,1,0,466345984,470540288,0,268444480,133,0
churn,1561,Trimming,4096,0,1,0,1,25182,25182,25182,25182,12558,12558,1,1,0,470540288,474734592,0,268444480,133,0
churn,1562,Trimming,4096,0,1,0,1,25198,25198,25198,25198,12566,12566,1,1,0,474734592,478928896,0,268444480,133,0
churn,1563,Trimming,4096,0,1,0,1,25214,25214,25214,25214,12574,12574,1,1,0,478928896,483123200,0,268444480,133,0
churn,1564,Trimming,4096,0,1,0,1,25230,25230,25230,25230,12582,12582,1,1,0,483123200,487317504,0,268444480,133,0
churn,1565,Trimming,4096,0,1,0,1,25246,25246,25246,25246,12590,12590,1,1,0,487317504,491511808,0,268444480,133,0
churn,1566,Trimming,4096,0,1,0,1,25262,25262,25262,25262,12598,12598,1,1,0,491511808,495706112,0,268444480,133,0
