run_id,client_mappers,present_clients,store_mappers,total_mappers,total_present_mappers,mode,oversubscribed,range_bytes,samples,p50_us,p95_us,p99_us,max_us,mean_us,MiBps_at_p50,syscall_failures,backing_checks,backing_failures,zero_checks,zero_failures
r3_m8_p8_parked,8,8,1,9,9,parked,0,4194304,1024,732.1,757.2,774.9,849.2,734.11,5463.6,0,1024,0,1,0
r3_m64_p1_parked,64,1,1,65,2,parked,0,16777216,1024,1857.8,1973.5,2038.9,2083.9,1870.82,8612.1,0,1024,0,1,0
r3_m64_p1_parked,64,1,1,65,2,parked,0,4194304,1024,466.6,495.4,514.0,569.0,466.95,8573.4,0,1024,0,1,0
r3_m64_p1_parked,64,1,1,65,2,parked,0,1048576,1024,124.3,135.7,144.4,184.7,124.31,8048.1,0,1024,0,1,0
r3_m64_p32_parked,64,32,1,65,33,parked,0,4194304,1024,1716.6,1753.8,1780.1,1849.1,1717.45,2330.3,0,1024,0,1,0
r3_m64_p32_parked,64,32,1,65,33,parked,0,16777216,1024,6787.4,6893.3,6954.2,9281.2,6790.42,2357.3,0,1024,0,1,0
r3_m64_p32_parked,64,32,1,65,33,parked,0,1048576,1024,458.8,481.9,494.1,517.6,458.86,2179.8,0,1024,0,1,0
r3_m64_p64_parked,64,64,1,65,65,parked,0,16777216,1024,11775.5,11938.0,12010.9,13688.3,11780.54,1358.7,0,1024,0,1,0
r3_m64_p64_parked,64,64,1,65,65,parked,0,4194304,1024,2956.7,2997.0,3015.4,3243.9,2956.37,1352.9,0,1024,0,1,0
r3_m64_p64_parked,64,64,1,65,65,parked,0,1048576,1024,781.4,807.4,824.3,972.4,781.33,1279.8,0,1024,0,1,0
r3_m128_p0_parked,128,0,1,129,1,parked,0,16777216,1024,1141.9,1247.1,1319.9,1836.8,1154.96,14011.3,0,1024,0,1,0
r3_m128_p0_parked,128,0,1,129,1,parked,0,4194304,1024,275.1,292.0,309.8,472.1,278.32,14540.7,0,1024,0,1,0
r3_m128_p0_parked,128,0,1,129,1,parked,0,1048576,1024,74.1,83.1,86.9,114.6,74.97,13499.6,0,1024,0,1,0
r3_m0_p0_parked,0,0,1,1,1,parked,0,1048576,1024,60.8,66.9,77.6,262.0,62.00,16440.1,0,1024,0,1,0
r3_m0_p0_parked,0,0,1,1,1,parked,0,16777216,1024,1073.7,1105.2,1155.4,1424.5,1077.36,14901.7,0,1024,0,1,0
r3_m0_p0_parked,0,0,1,1,1,parked,0,4194304,1024,245.6,260.4,287.1,352.4,248.97,16284.5,0,1024,0,1,0
r3_m1_p1_parked,1,1,1,2,2,parked,0,4194304,1024,433.9,465.3,481.4,488.4,436.98,9217.7,0,1024,0,1,0
r3_m1_p1_parked,1,1,1,2,2,parked,0,16777216,1024,1805.3,1873.8,1945.8,2010.3,1801.75,8862.9,0,1024,0,1,0
r3_m1_p1_parked,1,1,1,2,2,parked,0,1048576,1024,108.4,121.6,127.3,135.0,110.75,9227.9,0,1024,0,1,0
r3_m1_p1_active,1,1,1,2,2,active,0,1048576,1024,114.1,123.1,129.1,133.3,115.30,8764.7,0,1024,0,1,0
r3_m1_p1_active,1,1,1,2,2,active,0,4194304,1024,448.2,464.6,472.2,577.5,449.27,8925.2,0,1024,0,1,0
r3_m1_p1_active,1,1,1,2,2,active,0,16777216,1024,1874.7,1909.5,1957.3,2792.6,1866.09,8534.5,0,1024,0,1,0
r3_m32_p32_parked,32,32,1,33,33,parked,0,4194304,1024,1716.4,1756.5,1775.2,2403.7,1719.16,2330.5,0,1024,0,1,0
r3_m32_p32_parked,32,32,1,33,33,parked,0,16777216,1024,6791.3,6872.4,6928.1,7001.8,6791.26,2356.0,0,1024,0,1,0
r3_m32_p32_parked,32,32,1,33,33,parked,0,1048576,1024,445.3,470.8,482.6,506.4,446.95,2245.6,0,1024,0,1,0
r3_m64_p0_parked,64,0,1,65,1,parked,0,1048576,1024,70.0,79.3,85.6,143.8,71.19,14280.0,0,1024,0,1,0
r3_m64_p0_parked,64,0,1,65,1,parked,0,4194304,1024,272.6,289.5,321.5,424.4,274.13,14670.9,0,1024,0,1,0
r3_m64_p0_parked,64,0,1,65,1,parked,0,16777216,1024,1129.5,1216.3,1288.8,1810.6,1139.63,14165.3,0,1024,0,1,0
